timestamp,source_ip,destination_ip,source_port,destination_port,protocol,username,failed_logins,login_success,bytes_sent,bytes_received,duration,request_count,privilege_level
2026-09-19T08:05:02Z,185.220.101.5,10.0.0.2,33003,23,TELNET,anonymous,0,0,50,0,1,1,User
2026-09-19T08:05:03Z,185.220.101.5,10.0.0.2,33004,25,SMTP,anonymous,0,0,50,0,1,1,User
2026-09-19T08:05:04Z,185.220.101.5,10.0.0.2,33005,53,DNS,anonymous,0,0,50,0,1,1,User
2026-09-19T08:05:05Z,185.220.101.5,10.0.0.2,33006,80,HTTP,anonymous,0,0,50,0,1,1,User
2026-09-19T08:05:06Z,185.220.101.5,10.0.0.2,33007,110,POP3,anonymous,0,0,50,0,1,1,User
2026-09-19T08:05:07Z,185.220.101.5,10.0.0.2,33008,135,RPC,anonymous,0,0,50,0,1,1,User
2026-09-19T08:05:08Z,185.220.101.5,10.0.0.2,33009,139,SMB,anonymous,0,0,50,0,1,1,User
2026-09-19T08:05:09Z,185.220.101.5,10.0.0.2,33010,143,IMAP,anonymous,0,0,50,0,1,1,User
2026-09-19T08:05:10Z,185.220.101.5,10.0.0.2,33011,443,HTTPS,anonymous,0,0,50,0,1,1,User
2026-09-19T08:05:11Z,185.220.101.5,10.0.0.2,33012,445,SMB,anonymous,0,0,50,0,1,1,User
2026-09-19T08:05:12Z,185.220.101.5,10.0.0.2,33013,1433,MSSQL,anonymous,0,0,50,0,1,1,User
2026-09-19T08:05:13Z,185.220.101.5,10.0.0.2,33014,3306,MYSQL,anonymous,0,0,50,0,1,1,User
2026-09-19T08:05:14Z,185.220.101.5,10.0.0.2,33015,3389,RDP,anonymous,0,0,50,0,1,1,User
2026-09-19T08:05:15Z,185.220.101.5,10.0.0.2,33016,5432,POSTGRES,anonymous,0,0,50,0,1,1,User
2026-09-19T08:05:16Z,185.220.101.5,10.0.0.2,33017,6379,REDIS,anonymous,0,0,50,0,1,1,User
2026-09-19T08:05:17Z,185.220.101.5,10.0.0.2,33018,8080,HTTP-ALT,anonymous,0,0,50,0,1,1,User
2026-09-19T08:05:18Z,185.220.101.5,10.0.0.2,33019,8443,HTTPS-ALT,anonymous,0,0,50,0,1,1,User
2026-09-19T08:05:19Z,185.220.101.5,10.0.0.2,33020,9200,ELASTIC,anonymous,0,0,50,0,1,1,User
2026-09-19T08:05:20Z,185.220.101.5,10.0.0.2,33021,27017,MONGODB,anonymous,0,0,50,0,1,1,User
2026-09-19T08:10:00Z,192.168.1.15,10.0.0.8,50100,443,HTTPS,mwilson,0,1,890,2100,30,8,User
2026-09-19T08:12:15Z,192.168.1.15,10.0.0.8,50102,443,HTTPS,mwilson,0,1,450,1800,20,4,User
2026-09-19T08:15:30Z,192.168.1.88,10.0.0.3,55400,443,HTTPS,sarah.c,0,1,2100,45000,120,24,User
2026-09-19T08:20:00Z,10.0.0.50,10.0.0.10,48911,22,SSH,service_account,0,1,15000,1200,10,2,Admin
2026-09-19T08:22:10Z,192.168.1.104,10.0.0.4,59100,443,HTTPS,alex_dev,0,1,3400,9800,60,18,User
2026-09-19T08:25:40Z,192.168.1.104,10.0.0.4,59105,443,HTTPS,alex_dev,0,1,4500,12000,90,22,System
2026-09-19T08:26:00Z,192.168.1.104,10.0.0.99,59110,443,HTTPS,alex_dev,0,1,580000000,24000,1800,45,System
2026-09-19T08:30:12Z,192.168.1.11,10.0.0.5,50201,80,HTTP,bob_builder,0,1,1200,4500,40,10,User
2026-09-19T08:32:00Z,103.253.42.18,10.0.0.1,61001,443,HTTPS,system_admin,3,0,400,100,5,3,User
2026-09-19T08:35:10Z,192.168.1.50,10.0.0.6,49900,443,HTTPS,clara,0,1,1800,3200,35,9,User
2026-09-19T08:40:22Z,192.168.1.120,10.0.0.7,51000,443,HTTPS,david_k,0,1,950,4100,25,7,User
2026-09-19T08:45:00Z,198.51.100.42,10.0.0.12,62000,8443,HTTPS,guest,1,0,300,50,3,1,User
2026-09-19T08:50:00Z,192.168.1.201,10.0.0.2,53000,443,HTTPS,emma_w,0,1,3100,15400,55,14,User
2026-09-19T08:55:10Z,192.168.1.45,10.0.0.12,49160,443,HTTPS,admin,0,1,2100,11200,50,15,Admin
